applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,,719,46905581,https://storage-public.zhaopin.cn/user/avatar/1590458312820166324/%E4%B8%AD%E5%8D%8E%E8%81%94%E5%90%88%E4%BF%9D%E9%99%A9%E6%9C%80%E6%96%B0logo.jpg,中华保险,CZ469055810,46905581,['中国500强'],10000人以上,http://special.zhaopin.com/campus/2020/bf/zhlh052964/social.html,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《保险理赔·最新发布职位榜》', 'reportData': {'listid': '607404', 'listcity': '郑州', 'jdname': '核保管理（国企/内勤/非销售/金融保险经济类数学统计计算机）', 'workexp': '不限', 'jd3rdlevel': '保险理赔', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC469055812J00281392011'}}, 'recommendReason': None, 'type': 30}}",False,保险业,0,0,281392011,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,核保管理（国企/内勤/非销售/金融保险经济类数学统计计算机）,[],CC469055812J00281392011,[],,1,1,,http://jobs.zhaopin.com/CC469055812J00281392011.htm,http://jobs.zhaopin.com/CC469055812J00281392011.htm,国企,False,2022-07-14 11:07:26,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,面议,,0-0,1,"[{'state': 0, 'value': '核保'}, {'state': 0, 'value': '办公软件'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1585213334924045034/a0ff211d62ad43c1b5cf05e22a01684f?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 678837649, 'lastOnlineTime': 1658535249690, 'staffName': '共享服务中心郑州分中心'}",41010511,如意湖街道,12000100150000,保险理赔,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '每年调薪'}, {'state': 0, 'value': '收入稳定'}]",郑州,全职,不限,False,False,4a613d31-03aa-4034-b486-532490eef11a
1,True,False,1,金水区,719,12074212,https://rd5-public.zhaopin.cn/imgs/company/79dc2a2d22e8d2d8d5c8c5a2069064b3.jpg,北京北森云计算股份有限公司,CZ120742120,12074212,[],1000-9999人,http://company.zhaopin.com/CZ120742120.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '23届秋招岗位'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,计算机软件,5,0,40308683706,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,软件交付经理,[],CC120742120J40308683706,[],23届秋招岗位,1,1,,http://jobs.zhaopin.com/CC120742120J40308683706.htm,http://jobs.zhaopin.com/CC120742120J40308683706.htm,民营,False,2022-07-13 11:26:21,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",30,,False,False,False,150-200/天,,150-200,2,"[{'state': 0, 'value': '软件实施'}, {'state': 0, 'value': '项目验收'}, {'state': 0, 'value': '软件应用培训'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '选聘顾问', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1112637328, 'lastOnlineTime': 1658561645220, 'staffName': '史莉莉'}",41010507,丰产路街道,13000200060000,实施顾问,,,5,"[{'state': 0, 'value': '餐补'}, {'state': 0, 'value': '九险一金'}, {'state': 0, 'value': '周末双休'}]",郑州,实习,无经验,False,False,cff8ba0e-9f81-4120-a1bb-acf4314da416
1,False,False,1,,719,13721545,https://storage-public.zhaopin.cn/user/avatar/1599881472459967712/2020%E4%BC%97%E5%93%81LOGO%E6%96%B0%E6%A0%87.jpg,河南众品食业股份有限公司,CZ137215450,13721545,[],1000-9999人,http://company.zhaopin.com/CZ137215450.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,农/林/牧/渔,0,0,40042674015,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,储备干部,[],CC137215450J40042674015,[],,1,1,,http://jobs.zhaopin.com/CC137215450J40042674015.htm,http://jobs.zhaopin.com/CC137215450J40042674015.htm,民营,False,2022-07-06 09:23:02,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",40,,False,False,False,3千-6千,,3000-6000,1,"[{'state': 0, 'value': '综合素质'}, {'state': 0, 'value': '学习能力'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 201513070, 'lastOnlineTime': 1658546161960, 'staffName': '人力资源部'}",41010218,林山寨街道,8000100010000,储备干部,,,0,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '定期体检'}]",郑州,校园,无经验,False,False,58e526ae-9321-493a-b2f0-e69bed3589a7
1,False,False,1,,719,35615511,https://storage-public.zhaopin.cn/CompanyLogo/20150914/27CAC3B1E2DD41BA84D2B7441B707B15.jpg,黎明重工,CZ356155110,35615511,[],1000-9999人,https://special.zhaopin.com/Flying/Society/20190910/35615511_11243027_ZL29170/index.html,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,电气机械/器材制造,0,0,40288306811,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,工程管理,[],CC356155110J40288306811,[],,0,1,,http://jobs.zhaopin.com/CC356155110J40288306811.htm,http://jobs.zhaopin.com/CC356155110J40288306811.htm,民营,False,2022-07-19 00:23:03,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",5,,False,False,False,4千-8千,,4001-8000,1,"[{'state': 0, 'value': '电气工程'}, {'state': 0, 'value': '机电工程'}, {'state': 0, 'value': '矿山工程'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1057367180, 'lastOnlineTime': 1658547105723, 'staffName': '袁亚静'}",41010216,梧桐街道,15000300230000,机械工程师,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '定期体检'}]",郑州,全职,无经验,False,False,70f5fd7a-7f6a-4b7d-a6af-01428de29c87
1,False,False,1,,719,18659122,,中铁大桥局第一工程有限公司,CZ186591220,18659122,[],100-299人,http://company.zhaopin.com/CZ186591220.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,房地产开发与经营,0,0,40282274815,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,试验检测工程师,[],CC186591220J40282274815,[],,1,1,,http://jobs.zhaopin.com/CC186591220J40282274815.htm,http://jobs.zhaopin.com/CC186591220J40282274815.htm,其它,False,2022-07-14 00:11:40,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",5,,False,False,False,6千-8千,,6001-8000,1,"[{'state': 0, 'value': '试验检测'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/f8a0b8ec673941b089bf55444f87cf29/%E5%85%AC%E5%8F%B8%E5%8A%9E%E5%85%AC%E6%A5%BC%EF%BC%88%E6%9C%89%E6%97%97%E5%8F%B0.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 706276923, 'lastOnlineTime': 1658471983202, 'staffName': '李先生'}",41010514,南阳新村街道,15000300460000,试验工程师,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '补充医疗保险'}, {'state': 0, 'value': '公司重点项目'}]",郑州,全职,无经验,False,False,f1919fa4-26b1-4445-b90f-94be3d7ef696
1,False,False,1,,719,124006558,https://storage-public.zhaopin.cn/user/avatar/1614050988982323012/c16ddcff-035e-4051-8b12-3bb7bcf7163d.jpg,菡美品牌管理有限公司,CZL1240065580,124006558,[],500-999人,http://company.zhaopin.com/CZL1240065580.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,美容/保健/养生,0,0,40292425901,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,美容师,[],CCL1240065580J40292425901,[],,1,1,,http://jobs.zhaopin.com/CCL1240065580J40292425901.htm,http://jobs.zhaopin.com/CCL1240065580J40292425901.htm,,False,2022-06-25 08:42:29,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,3千-6千,,3001-6000,1,"[{'state': 0, 'value': '包吃包住'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '话补'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '免费工装'}, {'state': 0, 'value': '宿舍有空调'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/bapp/weex/1652324625777634015/0XLXAlun2XmP3z1NB0F53315C64D50562F524AC3244770F7.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '高级美容导师', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1136304401, 'lastOnlineTime': 1658540936591, 'staffName': '杨秀纹'}",41010414,商都路街道,6001000070000,美容师,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '免费班车'}, {'state': 0, 'value': '定期团建'}, {'state': 0, 'value': '项目奖金'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '员工旅游'}]",郑州,全职,无经验,False,False,fcb85f8e-429f-447e-bc8a-fc7a4a90e459
1,False,False,1,管城回族区,719,18389092,https://rd5-public.zhaopin.cn/imgs/company/8ff3b6de23e2fd085d35d3ff548a9617.png,科伦药业,CZ183890920,18389092,['已上市'],10000人以上,http://special.zhaopin.com/cd/2014/klyy033182/index.html,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《销售助理·高投递榜》', 'reportData': {'listid': '303051', 'listcity': '郑州', 'jdname': '销售内勤', 'workexp': '不限', 'jd3rdlevel': '销售助理', 'bizid': '300170', 'worktype': '全职', 'jdno': 'CC183890920J40212506502'}}, 'recommendReason': None, 'type': 30}}",False,医药制造,0,0,40212506502,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,销售内勤,[],CC183890920J40212506502,[],,1,1,,http://jobs.zhaopin.com/CC183890920J40212506502.htm,http://jobs.zhaopin.com/CC183890920J40212506502.htm,民营,False,2022-07-19 14:49:05,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,面议,13薪,0-0,1,"[{'state': 0, 'value': '资料管理'}, {'state': 0, 'value': 'office'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '行政人事部经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1118365816, 'lastOnlineTime': 1658505906658, 'staffName': '海妍莉'}",41010414,商都路街道,14000400070000,销售助理,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '员工旅游'}]",郑州,全职,不限,False,False,35b10c9b-0370-443d-b18e-d0609f6fc63c
1,False,False,1,管城回族区,719,19509652,https://rd5-public.zhaopin.cn/imgs/company/4e1bd0706c6e81aeb81060e9a7a3e4fc.png,华润电力,CZ195096520,19509652,['已上市'],10000人以上,http://special.zhaopin.com/2016/shz/hrdl033121/,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '绩效奖金、包吃、房屋补助、五险二金、体检'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,电力/水利/热力/燃气,0,0,40304030608,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,华润电力中西新能源运行公司运营计划与分析岗,[],CC195096520J40304030608,[],绩效奖金、包吃、房屋补助、五险二金、体检,1,1,,http://jobs.zhaopin.com/CC195096520J40304030608.htm,http://jobs.zhaopin.com/CC195096520J40304030608.htm,国企,False,2022-07-21 00:13:46,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,8千-1.2万,,8001-12000,1,"[{'state': 0, 'value': 'Python'}, {'state': 0, 'value': 'Java'}, {'state': 0, 'value': 'SQL'}, {'state': 0, 'value': '描述统计'}, {'state': 0, 'value': '相关分析'}, {'state': 0, 'value': 'Excel'}, {'state': 0, 'value': '多元统计分析'}, {'state': 0, 'value': '参数检验'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1139300660, 'lastOnlineTime': 1658214901110, 'staffName': '管浩博'}",41010414,商都路街道,9000400070000,数据分析师,,,0,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '通讯补助'}, {'state': 0, 'value': '采暖补贴'}, {'state': 0, 'value': '带薪年假'}]",郑州,全职,1-3年,False,False,77f89509-5e54-4e9d-ac17-9fcc0b693a7f
1,False,False,1,二七区,719,130646380,https://storage-public.zhaopin.cn/user/avatar/1609473354050811853/%E9%83%91%E5%B7%9E%E9%87%91%E5%A4%AB%E4%BA%BA%E4%B8%AD%E5%8E%9F%E6%97%97%E8%88%B0%E5%BA%97logo.jpg,郑州金夫人文化传播有限公司,CZL1306463800,130646380,[],1000-9999人,http://company.zhaopin.com/CZL1306463800.htm,,0,,中专/中技,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,居民服务,0,0,40105319015,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,人像修图师（有经验）8K+,[],CCL1306463800J40105319015,[],,0,1,,http://jobs.zhaopin.com/CCL1306463800J40105319015.htm,http://jobs.zhaopin.com/CCL1306463800J40105319015.htm,合资,False,2022-07-05 11:55:42,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",20,,False,False,False,8千-1.5万,,8001-15000,1,"[{'state': 0, 'value': '人像修图'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/2e4d7a2e97bc4935a7ea825cd7946ff4/%E9%87%91%E5%B0%8F%E5%A6%B9.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人资主管', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1130200182, 'lastOnlineTime': 1658333860633, 'staffName': '李女士'}",41010308,铭功路街道,17000500240000,人像修图师,,,0,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '采暖补贴'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期团建'}, {'state': 0, 'value': '试用期全额'}, {'state': 0, 'value': '包吃'}]",郑州,全职,1-3年,False,False,4400afec-ae51-40a0-b19c-5931eee46c1f
1,False,False,1,金水区,719,135079043,https://storage-public.zhaopin.cn/org/logo/1648188427276976833/da38d8fd051996342f48eefa02daf70.jpg,河南千兰教育科技有限公司,CZL1350790430,135079043,[],20-99人,http://company.zhaopin.com/CZL1350790430.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '单双轮休制+福利好，公司氛围好'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,科学技术推广服务业,0,0,40234819606,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,研发专员,[],CCL1350790430J40234819606,[],单双轮休制+福利好，公司氛围好,1,1,,http://jobs.zhaopin.com/CCL1350790430J40234819606.htm,http://jobs.zhaopin.com/CCL1350790430J40234819606.htm,民营,False,2022-07-18 17:58:41,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,5千-1万,,5001-10000,1,"[{'state': 0, 'value': 'ERP'}, {'state': 0, 'value': '后端开发'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1122725790, 'lastOnlineTime': 1658571268770, 'staffName': '张女士'}",41010523,丰庆路街道,9000300110000,Java,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '房补'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '每年多次调薪'}, {'state': 0, 'value': '单双轮休'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '全勤奖'}]",郑州,全职,无经验,False,False,ce9a25a7-2f48-45d3-9d6b-bdd111dc356e
1,False,False,1,中原区,719,13193253,https://storage-public.zhaopin.cn/user/avatar/1616743745889358316/%E5%BE%AE%E4%BF%A1%E6%88%AA%E5%9B%BE_20210326152900.png,禾丰食品股份有限公司,CZ131932530,13193253,['已上市'],10000人以上,http://special.zhaopin.com/2016/sy/11050/lnhf011282,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《数据分析师·最新发布职位榜》', 'reportData': {'listid': '605349', 'listcity': '郑州', 'jdname': '生产数据分析员', 'workexp': '1-3年', 'jd3rdlevel': '数据分析师', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC131932530J40304612312'}}, 'recommendReason': None, 'type': 30}}",False,农副产品加工制造,0,0,40304612312,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,生产数据分析员,[],CC131932530J40304612312,[],,1,1,,http://jobs.zhaopin.com/CC131932530J40304612312.htm,http://jobs.zhaopin.com/CC131932530J40304612312.htm,上市公司,False,2022-06-30 18:43:23,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,5千-6千,,5001-6000,1,"[{'state': 0, 'value': '数据统计分析'}, {'state': 0, 'value': '生产统计'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HRBP', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1132217135, 'lastOnlineTime': 1658506508955, 'staffName': '曹先生'}",41010210,枫杨街道,9000400070000,数据分析师,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '餐补'}]",郑州,全职,1-3年,False,False,2bc33415-907f-4420-8408-7710fc59576e
1,False,False,1,,719,28918848,https://storage-public.zhaopin.cn/CompanyLogo/20160622/0F9A53CA3F2B42F9A39B15099FDD7E70.jpg,河南博润汽车销售有限公司,CZ289188480,28918848,[],100-299人,http://company.zhaopin.com/CZ289188480.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《电话客服·最新发布职位榜》', 'reportData': {'listid': '606495', 'listcity': '郑州', 'jdname': '邀约专员', 'workexp': '无经验', 'jd3rdlevel': '电话客服', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC289188481J90250020000'}}, 'recommendReason': None, 'type': 30}}",False,汽车制造,0,0,31242426624,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,邀约专员,[],CC289188481J90250020000,[],,1,1,,http://jobs.zhaopin.com/CC289188481J90250020000.htm,http://jobs.zhaopin.com/CC289188481J90250020000.htm,民营,False,2022-07-15 16:22:58,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-8千,,4001-8000,1,"[{'state': 0, 'value': '售前客服'}, {'state': 0, 'value': '汽车客服'}, {'state': 0, 'value': '邀约专员'}, {'state': 0, 'value': '销售客服'}, {'state': 0, 'value': '全白班'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1583839816974605693/2ffbba76-fbcc-4d52-97dd-638c20c6f44c.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '昨日活跃', 'id': 665899268, 'lastOnlineTime': 1658591791027, 'staffName': '路老师'}",41010804,迎宾路街道,13000100020000,电话客服,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '包吃'}, {'state': 0, 'value': '餐补'}]",郑州,全职,无经验,False,False,ab75a734-32f5-464c-849e-b26d47fcd198
1,False,False,1,管城回族区,719,89151540,https://rd5-public.zhaopin.cn/imgs/company/3d0a83d78ddf6787c85529560818ea88.jpg,河南省中联即送网络科技有限公司,CZ891515400,89151540,[],10000人以上,http://company.zhaopin.com/CZ891515400.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《数据分析师·最新发布职位榜》', 'reportData': {'listid': '605349', 'listcity': '郑州', 'jdname': '数据运营', 'workexp': '1-3年', 'jd3rdlevel': '数据分析师', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC891515400J40303827711'}}, 'recommendReason': None, 'type': 30}}",False,货运/物流仓储,0,0,40303827711,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,数据运营,[],CC891515400J40303827711,[],,0,1,,http://jobs.zhaopin.com/CC891515400J40303827711.htm,http://jobs.zhaopin.com/CC891515400J40303827711.htm,民营,False,2022-07-04 10:49:02,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-5千,,4001-5000,1,"[{'state': 0, 'value': '运营数据分析'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/e6e9ce38b9cf4310a3efb7d3201f9cd7/%E4%B8%AD%E8%81%94-%E5%90%89%E7%A5%A5%E7%89%A9.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HR', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1056236087, 'lastOnlineTime': 1658488029162, 'staffName': 'HR'}",41010414,商都路街道,9000400070000,数据分析师,,,0,"[{'state': 0, 'value': '弹性工作'}]",郑州,全职,1-3年,False,False,4fddeece-f566-4bbb-8800-45d19bedc885
