applyType,canBeRegular,canRemoteInternship,chatWindow,cityDistrict,cityId,companyId,companyLogo,companyName,companyNumber,companyRootId,companyScaleTypeTagsNew,companySize,companyUrl,deliveryPath,distance,distanceFormat,education,extensions,hasAppliedPosition,industryName,internshipMonths,isNewPosition,jobId,liveCard,matchInfo,menVipLevel,name,needMajor,number,positionCommercialLabel,positionHighlight,positionOfNlp,positionSourceType,positionSourceTypeUrl,positionURL,positionUrl,property,provideInternshipCertificate,publishTime,recallSign,recruitNumber,redirectUrl,redirectable,rpoProxied,rpoProxy,salary60,salaryCount,salaryReal,salaryType,skillLabel,staffCard,streetId,streetName,subJobTypeLevel,subJobTypeLevelName,tagABC,tradingArea,weeklyInternshipDays,welfareLabel,workCity,workType,workingExp,collected,selected,uuid
1,False,False,1,秦淮区,635,140542752,https://storage-public.zhaopin.cn/org/logo/1652923587243716901/Dingtalk_20220519092553.jpg,南京讯家量子生物科技有限公司,CZL1405427520,140542752,[],100-299人,http://company.zhaopin.com/CZL1405427520.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选 《客服专员·高薪榜》', 'reportData': {'listid': '1676207', 'listcity': '南京', 'jdname': '拿不到3w把我的肋骨打断给你煲汤喝（客服）', 'workexp': '不限', 'jd3rdlevel': '客服专员', 'bizid': '300185', 'worktype': '全职', 'jdno': 'CCL1405427520J40309090403'}}, 'recommendReason': None, 'type': 30}}",False,电子商务,0,0,40309090403,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,拿不到3w把我的肋骨打断给你煲汤喝（客服）,[],CCL1405427520J40309090403,[],,1,1,,http://jobs.zhaopin.com/CCL1405427520J40309090403.htm,http://jobs.zhaopin.com/CCL1405427520J40309090403.htm,民营,False,2022-07-08 09:57:38,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",20,,False,False,False,15万-25万,,150001-250000,1,"[{'state': 0, 'value': '电话客服'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1140141804, 'lastOnlineTime': 1658389178408, 'staffName': '秦文娟'}",32010405,五老村街道,13000100100000,客服专员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '交通补助'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '节日福利'}]",南京,全职,不限,False,False,966bda3c-fbfd-4347-92e9-e91b52528c81
1,False,False,1,浦口区,635,42246103,https://storage-public.zhaopin.cn/user/avatar/1603687144336197894/%E4%B8%AD%E7%87%83logo%EF%BC%88%E5%B8%B8%E7%94%A8%EF%BC%89.jpg,南京中燃能源发展有限公司,CZ422461030,42246103,[],10000人以上,http://company.zhaopin.com/CZ422461030.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,电力/水利/热力/燃气,0,0,40260686113,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,五险一金包吃住电厂值长岗位,[],CC422461030J40260686113,[],,0,1,,http://jobs.zhaopin.com/CC422461030J40260686113.htm,http://jobs.zhaopin.com/CC422461030J40260686113.htm,上市公司,False,2022-07-23 00:15:19,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",3,,False,False,False,8千-1万,,8001-10000,1,"[{'state': 0, 'value': '电力'}, {'state': 0, 'value': '热力'}, {'state': 0, 'value': '五险一金'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘专员', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1133296996, 'lastOnlineTime': 1658571351411, 'staffName': '王婷婷'}",32011103,桥林街道,15000200220000,生产安全员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '全额公积金'}]",南京,全职,1-3年,False,False,47a177b6-ea73-4ae2-9369-1c0727ac73d6
1,True,False,1,,635,53207338,,南京协义同信息科技有限公司,CZ532073380,53207338,[],100-299人,http://company.zhaopin.com/CC532073387.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,计算机软件,6,0,40260415709,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,IT实训生,[],CC532073380J40260415709,[],,1,1,,http://jobs.zhaopin.com/CC532073380J40260415709.htm,http://jobs.zhaopin.com/CC532073380J40260415709.htm,民营,True,2022-07-22 14:55:42,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",20,,False,False,False,150-200/天,,150-200,2,"[{'state': 0, 'value': '数据库'}, {'state': 0, 'value': 'Java'}, {'state': 0, 'value': 'Tomcat'}, {'state': 0, 'value': 'HTML5'}, {'state': 0, 'value': 'Hadoop'}, {'state': 0, 'value': 'SpringCloud'}, {'state': 0, 'value': '分布式架构'}, {'state': 0, 'value': '高并发'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1128748725, 'lastOnlineTime': 1658568410051, 'staffName': '梁女士'}",0,,9000300110000,Java,,,5,[],南京,实习,无经验,False,False,f0a233fe-cc58-451f-a06f-382d1bcc7e16
1,False,False,1,六合区,635,40560948,https://storage-public.zhaopin.cn/user/avatar/1596158788847859937/%E4%B8%9C%E5%9B%AD%E9%9B%86%E5%9B%A2%E9%BB%91-01.png,扬州东园食品有限公司,CZ405609480,40560948,['最佳雇主'],10000人以上,http://company.zhaopin.com/CZ405609480.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,餐饮业,0,0,40312057109,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,星伦多服务员,[],CC405609480J40312057109,[],,1,1,,http://jobs.zhaopin.com/CC405609480J40312057109.htm,http://jobs.zhaopin.com/CC405609480J40312057109.htm,民营,False,2022-07-11 12:05:24,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,4千-6千,,4001-6000,1,"[{'state': 0, 'value': '包吃'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '免费工装'}, {'state': 0, 'value': '宿舍有空调'}, {'state': 0, 'value': '免费培训'}, {'state': 0, 'value': '就近分配'}, {'state': 0, 'value': '有无线网'}, {'state': 0, 'value': '环境好'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f3.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1124873426, 'lastOnlineTime': 1658555194300, 'staffName': '胡女士'}",32011609,雄州街道,6000500040000,服务员,,,0,"[{'state': 0, 'value': '包吃'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '每年多次调薪'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '月休四天'}]",南京,全职,不限,False,False,7f1bfa24-8d5e-4c4f-abdb-464e285e9b18
1,False,False,1,,635,87972371,http://zhaopin-c-ask.oss-cn-beijing.aliyuncs.com/avatar/bc7ca493-1680-4d9c-9634-760b08577c88.jpg,平安普惠信息服务有限公司南京清凉门大街分公司,CZ879723710,87972371,[],10000人以上,http://company.zhaopin.com/CZ879723710.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选《催收员·最新发布职位榜》', 'reportData': {'listid': '611758', 'listcity': '南京', 'jdname': '平安普惠 电话催收', 'workexp': '不限', 'jd3rdlevel': '催收员', 'bizid': '300172', 'worktype': '全职', 'jdno': 'CC879723710J40143279711'}}, 'recommendReason': None, 'type': 30}}",False,互联网金融/小额贷款,0,0,40143279711,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,平安普惠 电话催收,[],CC879723710J40143279711,[],,1,1,,http://jobs.zhaopin.com/CC879723710J40143279711.htm,http://jobs.zhaopin.com/CC879723710J40143279711.htm,民营,False,2022-07-19 11:50:29,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,1万-1.5万,,10001-15000,1,"[{'state': 0, 'value': '电话催收'}, {'state': 0, 'value': '催收管理'}, {'state': 0, 'value': '催收策略'}, {'state': 0, 'value': '贷后催收'}, {'state': 0, 'value': '电话客服'}, {'state': 0, 'value': '客服专员'}, {'state': 0, 'value': '风险控制'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1646731766530691649/1c12141f-18cd-47ce-80e4-ff23c26150ad.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '', 'id': 1072522898, 'lastOnlineTime': 1658384802801, 'staffName': '曹先生'}",32010607,凤凰街道,12000300020000,催收员,,,0,"[{'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '定期团建'}, {'state': 0, 'value': '每年多次调薪'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '年终分红'}]",南京,全职,不限,False,False,3938d2da-5830-4010-b43f-8f5234600b0b
1,False,False,1,秦淮区,635,48615253,https://storage-public.zhaopin.cn/user/avatar/1585128675596939157/upload_a7880bbf659c0484eb2cfba2b951842e.jpg,上海盒马网络科技有限公司,CZ486152530,48615253,[],10000人以上,http://company.zhaopin.com/CZ486152530.htm,,0,,高中,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': {'rankName': '入选 《配/理/拣/发货·高薪榜》', 'reportData': {'listid': '1678608', 'listcity': '南京', 'jdname': '分拣员', 'workexp': '不限', 'jd3rdlevel': '配/理/拣/发货', 'bizid': '300185', 'worktype': '全职', 'jdno': 'CC486152530J40214069108'}}, 'recommendReason': None, 'type': 30}}",False,新零售,0,0,40214069108,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,分拣员,[],CC486152530J40214069108,[],,1,1,,http://jobs.zhaopin.com/CC486152530J40214069108.htm,http://jobs.zhaopin.com/CC486152530J40214069108.htm,合资,False,2022-07-18 00:13:12,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,7千-1万,,7001-10000,1,"[{'state': 0, 'value': '理货'}, {'state': 0, 'value': '拣货'}, {'state': 0, 'value': '五险一金'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1117777779, 'lastOnlineTime': 1658578747596, 'staffName': '成女士'}",32010405,五老村街道,2000400030000,配/理/拣/发货,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '餐补'}, {'state': 0, 'value': '13薪'}]",南京,全职,不限,False,False,97e8cefa-2aad-4047-b933-29caca2c50c4
1,True,False,1,江宁区,635,132994266,https://storage-public.zhaopin.cn/org/logo/1637136188249624135/%E6%A0%87%E5%BF%97%E7%AE%80%E7%A7%B0%E6%A8%AA%E7%89%88%E7%BB%84%E5%90%88.png,江苏博晟环境科技有限公司,CZL1329942660,132994266,[],20人以下,http://company.zhaopin.com/CZL1329942660.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,专业技术服务,6,0,40242468606,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,环评编制员,[],CCL1329942660J40242468606,[],,1,1,,http://jobs.zhaopin.com/CCL1329942660J40242468606.htm,http://jobs.zhaopin.com/CCL1329942660J40242468606.htm,民营,True,2022-07-20 00:10:37,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,100-200/天,,100-200,2,"[{'state': 0, 'value': '注册环评工程师'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1120469353, 'lastOnlineTime': 1658485862518, 'staffName': '唐浏'}",32011504,秣陵街道,7000300190000,环评技术员,,,5,"[{'state': 0, 'value': '周末双休'}, {'state': 0, 'value': '定期体检'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '不加班'}]",南京,实习,无经验,False,False,274af3f2-fe5c-45a1-87b8-82fe427cad4c
1,False,False,1,秦淮区,635,135089375,https://storage-public.zhaopin.cn/org/logo/1650936805356492064/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220426092021.jpg,南京惠宁商务咨询有限公司,CZL1350893750,135089375,[],300-499人,http://company.zhaopin.com/CZL1350893750.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '1.员工生日会2.国内外旅游'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,互联网金融/小额贷款,0,0,40242923813,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,入职当月必开单+40%高提成金融销售,[],CCL1350893750J40242923813,[],1.员工生日会2.国内外旅游,1,1,,http://jobs.zhaopin.com/CCL1350893750J40242923813.htm,http://jobs.zhaopin.com/CCL1350893750J40242923813.htm,民营,False,2022-07-24 00:17:01,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",15,,False,False,False,20万-25万,,200001-250000,1,"[{'state': 0, 'value': '网络销售'}, {'state': 0, 'value': '电销'}, {'state': 0, 'value': '互联网金融'}, {'state': 0, 'value': '贷款行业'}, {'state': 0, 'value': '面销'}, {'state': 0, 'value': '银行'}, {'state': 0, 'value': '不出差'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f2.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事专员', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1128221005, 'lastOnlineTime': 1658562143439, 'staffName': '柳女士'}",32010412,朝天宫街道,19000200100000,销售顾问,,,0,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '大牛带队'}]",南京,全职,不限,False,False,dd409900-b1d2-4719-abc2-9093ce35b2a9
1,False,False,1,浦口区,635,64667962,https://storage-public.zhaopin.cn/CompanyLogo/20170322/CC748D5BD2C74009B098CD67090CFBA1.jpg,叮咚买菜,CZ646679620,64667962,[],10000人以上,http://special.zhaopin.com/sh/2014/11069/ybm121714,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,互联网,0,0,40316014007,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,【南京】急招7000+分拣员/工作轻松/就近分配,[],CC646679620J40316014007,[],,1,1,,http://jobs.zhaopin.com/CC646679620J40316014007.htm,http://jobs.zhaopin.com/CC646679620J40316014007.htm,上市公司,False,2022-07-14 16:32:45,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",50,,False,False,False,7千-9千,,7001-9000,1,"[{'state': 0, 'value': '分拣工'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/ee667fb575ec4940bfa56f0ec43bbdf5/src%3Dhttp___m.imeitou.com_uploads_allimg_2021030408_5kvesfeaver.jpg%26refer%3Dhttp___m.imeitou.jpg?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘主管', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1107529993, 'lastOnlineTime': 1658570599138, 'staffName': '甘元东'}",32011102,顶山街道,15000100270000,普工/操作工,,,0,"[{'state': 0, 'value': '全职'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '无试用期'}, {'state': 0, 'value': '绩效奖金'}]",南京,全职,不限,False,False,01536d7c-42e1-44bc-b70f-1e4fea515150
1,False,False,1,江宁区,635,43492692,,南京新凡建筑工程有限公司,CZ434926920,43492692,[],100-299人,http://company.zhaopin.com/CZ434926920.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': None, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 0}}",False,建筑设备安装,0,0,40253150414,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,工地门卫,[],CC434926920J40253150414,[],,1,1,,http://jobs.zhaopin.com/CC434926920J40253150414.htm,http://jobs.zhaopin.com/CC434926920J40253150414.htm,民营,False,2022-07-13 15:14:41,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",2,,False,False,False,2千-4千,,2001-4000,1,"[{'state': 0, 'value': '坐岗'}, {'state': 0, 'value': '秩序维护'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_f4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '人事经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1051027311, 'lastOnlineTime': 1658482898220, 'staffName': '张素娟'}",32011504,秣陵街道,6000100030000,保安,,,0,"[{'state': 0, 'value': '包住'}]",南京,全职,无经验,False,False,5a42c145-c8a0-4c1a-b473-14fd78407fe2
1,False,False,1,江宁区,635,29201121,https://storage-public.zhaopin.cn/CompanyLogo/20170207/A3AB217CA43D40DF93CCB4ACEEC580CE.jpg,泰盈科技集团股份有限公司,CZ292011210,29201121,[],10000人以上,http://company.zhaopin.com/CZ292011210.htm,,0,,大专,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '工作氛围轻松环境舒适同事也都很nice~'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,运营商/增值服务,0,0,40254245511,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,无考核 五险一金 文员性质岗,[],CC292011210J40254245511,[],工作氛围轻松环境舒适同事也都很nice~,1,1,,http://jobs.zhaopin.com/CC292011210J40254245511.htm,http://jobs.zhaopin.com/CC292011210J40254245511.htm,上市公司,False,2022-07-14 14:13:32,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",5,,False,False,False,5千-7千,,5001-7000,1,"[{'state': 0, 'value': '电商客服'}, {'state': 0, 'value': '售后客服'}, {'state': 0, 'value': '在线客服'}, {'state': 0, 'value': '非销售客服'}, {'state': 0, 'value': '互联网客服'}]","{'authenticationState': 0, 'avatar': 'http://fecdn5.zhaopin.cn/rd_zhaopin_com/weex/assets/images/wx_2_avatar_female_2.d7a898.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘主管', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1130648036, 'lastOnlineTime': 1658484403527, 'staffName': '孙鸿其'}",32011504,秣陵街道,13000100100000,客服专员,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '包住'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '周末双休'}, {'state': 0, 'value': '不加班'}]",南京,全职,1-3年,False,False,fd9b9b5e-20c7-4617-8b12-0880c1d75f4e
1,False,False,1,秦淮区,635,89151540,https://rd5-public.zhaopin.cn/imgs/company/3d0a83d78ddf6787c85529560818ea88.jpg,河南省中联即送网络科技有限公司,CZ891515400,89151540,[],10000人以上,http://company.zhaopin.com/CZ891515400.htm,,0,,学历不限,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '多劳多得 新人补贴 0元入职'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,货运/物流仓储,0,0,40309641211,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,给不会做饭的孩子送饭吃,[],CC891515400J40309641211,[],多劳多得 新人补贴 0元入职,1,1,,http://jobs.zhaopin.com/CC891515400J40309641211.htm,http://jobs.zhaopin.com/CC891515400J40309641211.htm,民营,False,2022-07-15 10:34:28,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",10,,False,False,False,8千-1.5万,,8001-15000,1,"[{'state': 0, 'value': '电动车驾驶'}, {'state': 0, 'value': '智能手机使用'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '距离补贴'}, {'state': 0, 'value': '夜宵单补贴'}, {'state': 0, 'value': '天气补贴'}, {'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '公司提供电动车'}]","{'authenticationState': 0, 'avatar': 'https://rd5-public.zhaopin.cn/imgs/avatar_m4.png?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': '招聘经理', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 1142763607, 'lastOnlineTime': 1658476747137, 'staffName': '闫正阳'}",32010405,五老村街道,2000400050000,送餐员,,,0,"[{'state': 0, 'value': '绩效奖金'}, {'state': 0, 'value': '加班补助'}, {'state': 0, 'value': '全勤奖'}, {'state': 0, 'value': '高温补贴'}, {'state': 0, 'value': '不加班'}, {'state': 0, 'value': '恶劣天气补贴'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '年底双薪'}]",南京,全职,不限,False,False,9edeb32c-393e-4707-ac10-59c74b081ad7
1,False,False,1,,635,16049461,https://storage-public.zhaopin.cn/user/avatar/1610530149205534501/5a4bab0c11b7dd6200f9609b9415ebf.jpg,欧德油储(南京)有限责任公司,CZ160494610,16049461,[],100-299人,http://company.zhaopin.com/CZ160494610.htm,,0,,本科,"{'operationExtension': {'explain': None, 'highlight': {'positionHighlight': '行业全球Top，良好的职业发展平台和前景'}, 'live': None, 'liveRoomState': 0, 'liveVideoState': 0, 'ranking': None, 'recommendReason': None, 'type': 20}}",False,民航/铁路/公路/水路客运,0,0,40194554714,,"{'icon': '', 'matched': 0, 'tagState': 0}",0,Management Trainee 管理培训生,[],CC160494610J40194554714,[],行业全球Top，良好的职业发展平台和前景,1,1,,http://jobs.zhaopin.com/CC160494610J40194554714.htm,http://jobs.zhaopin.com/CC160494610J40194554714.htm,合资,False,2022-07-01 09:58:51,"{'gMethod': 'config-position_search-position_score-default-c_PC_lambdaMart_label_v1.2_top_word', 'gParam': 'query-ps-score-3', 'gQuery': 'query-ps-score-3', 'gSort': 'query-ps-score-3', 'gSource': 'solr.source_position_query', 'gWeight': 0}",1,,False,False,False,6千-9千,,6001-9000,1,"[{'state': 0, 'value': '管理培训生'}]","{'authenticationState': 0, 'avatar': 'https://storage-public.zhaopin.cn/user/avatar/1589529112006818296/1294b03af402e5037218e8e86f702d28.jpg%3Fx-oss-process%3Dimage%252Fcrop%252Cx_261%252Cy_0%252Cw_1815%252Ch_1815?x-oss-process=image/resize,l_240/rotate,0', 'hrJob': 'HRM', 'hrOnlineIocState': 0, 'hrOnlineState': '三日内活跃', 'id': 123823712, 'lastOnlineTime': 1658474527912, 'staffName': 'HR'}",32011606,长芦街道,8000100030000,管培生/培训生,,,0,"[{'state': 0, 'value': '五险一金'}, {'state': 0, 'value': '年底双薪'}, {'state': 0, 'value': '节日福利'}, {'state': 0, 'value': '员工旅游'}, {'state': 0, 'value': '补充医疗保险'}, {'state': 0, 'value': '带薪年假'}, {'state': 0, 'value': '年终分红'}, {'state': 0, 'value': '住房补贴'}]",南京,全职,无经验,False,False,04279a72-4c78-4ac0-82a8-e757ed82bff6
